strain,stress
0.0,-0.004710383056183228
0.00202020202020202,0.005350664991996511
0.00404040404040404,-0.008421336582135225
0.006060606060606061,-0.004987438168068568
0.00808080808080808,0.004927978239670063
0.0101010101010101,0.012999875559197039
0.012121212121212121,0.021261234062435363
0.014141414141414142,0.03591859724998775
0.01616161616161616,0.03274875598219617
0.01818181818181818,0.025573332115059556
0.0202020202020202,0.02997573367425175
0.022222222222222223,0.023125591810345257
0.024242424242424242,0.03594174919774231
0.026262626262626262,0.03620649237031105
0.028282828282828285,0.04527586736723847
0.030303030303030304,0.03672058616075603
0.03232323232323232,0.053118396072776096
0.03434343434343434,0.066171392539865
0.03636363636363636,0.05266173248410282
0.03838383838383838,0.0606572663700021
0.0404040404040404,0.0664171213339643
0.04242424242424243,0.05836296475639951
0.044444444444444446,0.06745878339316196
0.046464646464646465,0.06816892483068694
0.048484848484848485,0.07182661647180198
0.050505050505050504,0.06590759145776406
0.052525252525252523,0.076650878488958
0.05454545454545454,0.0841333833010445
0.05656565656565657,0.09639128720449855
0.05858585858585859,0.09417713676548625
0.06060606060606061,0.10879826556904243
0.06262626262626263,0.08225173064553018
0.06464646464646465,0.10128325788064271
0.06666666666666667,0.09700373369769055
0.06868686868686869,0.11965336894906345
0.0707070707070707,0.0922315038505545
0.07272727272727272,0.0944499043024632
0.07474747474747474,0.09935869986461907
0.07676767676767676,0.08659142996000345
0.07878787878787878,0.1050222561962356
0.0808080808080808,0.10510896993644946
0.08282828282828283,0.11659521989397317
0.08484848484848485,0.12086975905284945
0.08686868686868687,0.13854420546317608
0.08888888888888889,0.13158587495637103
0.09090909090909091,0.11858005518234717
0.09292929292929293,0.11760020271495322
0.09494949494949495,0.13370610136204858
0.09696969696969697,0.11775395367257217
0.09898989898989899,0.15140659226523012
0.10101010101010101,0.1469880080725617
0.10303030303030303,0.13256889054761042
0.10505050505050505,0.12216134858063808
0.10707070707070707,0.15482805395168306
0.10909090909090909,0.14210475501887398
0.1111111111111111,0.1575529387782858
0.11313131313131314,0.1311185469603674
0.11515151515151516,0.14292018861422498
0.11717171717171718,0.15078021531764857
0.1191919191919192,0.15297381990418127
0.12121212121212122,0.14974167840169667
0.12323232323232323,0.16217093790234807
0.12525252525252525,0.14692784446370216
0.12727272727272726,0.15780310291630667
0.1292929292929293,0.16201369185576558
0.13131313131313133,0.16749971626808313
0.13333333333333333,0.17097660558388683
0.13535353535353536,0.15407949922207145
0.13737373737373737,0.15141039039560555
0.1393939393939394,0.18091389133628227
0.1414141414141414,0.17280568006287503
0.14343434343434344,0.16330278036976237
0.14545454545454545,0.1875638398555337
0.14747474747474748,0.174433205487593
0.1494949494949495,0.18625294735845538
0.15151515151515152,0.17627798326171581
0.15353535353535352,0.19731235301803435
0.15555555555555556,0.19531957237162006
0.15757575757575756,0.17629700660604894
0.1595959595959596,0.18948203147227585
0.1616161616161616,0.18715895747626796
0.16363636363636364,0.19528962078668646
0.16565656565656567,0.17281145475529877
0.16767676767676767,0.19013792735454427
0.1696969696969697,0.19463779917914106
0.1717171717171717,0.16720181464578873
0.17373737373737375,0.17365190522948576
0.17575757575757575,0.1657472035519608
0.17777777777777778,0.18406039099102703
0.1797979797979798,0.19450487620254853
0.18181818181818182,0.20288825634828356
0.18383838383838383,0.1891012974855174
0.18585858585858586,0.2051028106080762
0.18787878787878787,0.17543281366655125
0.1898989898989899,0.17257828655524965
0.1919191919191919,0.1893962841136429
0.19393939393939394,0.19409370681570076
0.19595959595959597,0.19018932640971625
0.19797979797979798,0.1700673096025415
0.2,0.1900385422874403
